gotu,covered_length,total_length,coverage_ratio,strain
G000146045,12121399,12157425,0.997036708,Saccharomyces cerevisiae
G003290485,7269088,7369807,0.986333563,Malassezia restricta
G000182965,12021257,14282806,0.841659335,Candida albicans
G000181695,3632704,8959438,0.405461146,Malassezia globosa
G000003855,26409972,75406772,0.350233425,Blastomyces gilchristii
G000226395,9758700,32224695,0.302832967,Penicillium rubens
G002079055,3063377,12093003,0.253318138,Saccharomyces paradoxus
G001642055,4111437,32992394,0.124617722,Alternaria alternata
G004154835,3596204,33949929,0.105926702,Alternaria arborescens
G000026945,1462577,14618562,0.100049307,Candida dubliniensis
G000721785,2941007,29624778,0.099275242,Aureobasidium pullulans
G000002545,1112432,12338568,0.090158923,[Candida] glabrata
G001661405,958407,13019915,0.073610849,Cyberlindnera jadinii
G000006335,693604,14630599,0.047407765,Candida tropicalis
G000300575,1424553,30234305,0.047117108,Agaricus bisporus
G004353045,1609976,40373728,0.039876823,Phialemoniopsis curvata
G000349305,240871,7670969,0.031400335,Malassezia sympodialis
G000006445,303690,12182088,0.024929224,Debaryomyces hansenii
G000091025,193609,9119452,0.021230333,Eremothecium gossypii
G001298625,234465,11734633,0.019980599,Saccharomyces eubayanus
G900007375,761100,38660286,0.019686869,Fusarium venenatum
G000769745,609280,32363668,0.018826049,Penicillium expansum
G000149425,193544,10610114,0.018241463,Meyerozyma guilliermondii
G000185945,257850,18375020,0.014032638,Cryptococcus gattii VGI
G001417885,150197,10966627,0.013695825,Kluyveromyces marxianus
G000243375,124605,9220818,0.013513443,Torulaspora delbrueckii
G000002515,143173,10729567,0.013343782,Kluyveromyces lactis
G000315645,345368,26054211,0.013255746,Penicillium digitatum
G002775015,164394,12741558,0.01290219,[Candida] auris
G000149645,409456,31778757,0.012884582,Aspergillus fischeri
G000149955,630627,61388614,0.010272703,Fusarium oxysporum
G000002525,196013,20551017,0.009537873,Yarrowia lipolytica
G000003835,113082,12115052,0.009334009,Clavispora lusitaniae
G003184545,327887,35611647,0.009207297,Aspergillus heteromorphus
G900067095,410859,45210944,0.009087601,Fusarium proliferatum
G000835515,345585,38227354,0.009040254,Exophiala oligosperma
G000263375,78030,9816686,0.007948711,Wallemia mellicola
G001447935,92352,11707957,0.007887969,Debaryomyces fabryi
G902498895,166700,21189308,0.007867175,Saprochaete ingens
G900079805,335986,43832534,0.00766522,Fusarium fujikuroi
G001329695,147691,21014498,0.007028053,Rhodotorula graminis
G001661255,98057,14146466,0.006931554,Wickerhamomyces anomalus
G000149555,287457,41845334,0.006869511,Fusarium verticillioides
G000146915,241267,37216127,0.006482862,Parastagonospora nodorum
G001890805,178331,27994982,0.006370106,Aspergillus glaucus
G000143535,269987,42630406,0.006333203,Botrytis cinerea
G005498985,118595,19566268,0.006061197,Sporisorium graminicola
G002849105,228395,37848680,0.006034424,Aspergillus steynii
